t,movement,has_pose,is_moving,is_paused
0.0,0.0,True,False,True
0.05006825309992706,0.03822885826230049,True,True,False
0.10013650619985412,0.03960525244474411,True,True,False
0.1502047592997812,0.03382907807826996,True,False,True
0.20027301239970824,0.0,True,False,True
0.2503412654996353,0.03368321433663368,True,False,True
0.3004095185995624,0.028126360848546028,True,False,True
0.3504777716994894,0.0,True,False,True
0.4005460247994165,0.0,True,False,True
0.45061427789934355,0.0,True,False,True
0.5006825309992706,0.0,True,False,True
0.5507507840991976,0.0,False,False,True
0.6008190371991248,0.0,True,False,True
0.6508872902990518,0.0,True,False,True
0.7009555433989788,0.0,True,False,True
0.7510237964989059,0.0,True,False,True
0.801092049598833,0.04753080755472183,True,True,False
0.8511603026987601,0.0,True,False,True
0.9012285557986871,0.18362683057785034,True,True,False
0.9512968088986141,0.2128356695175171,True,True,False
1.0013650619985413,0.28295236825942993,True,True,False
1.0514333150984683,0.0,True,False,True
1.1015015681983953,0.3038313090801239,True,True,False
1.1515698212983223,0.3693580627441406,True,True,False
1.2016380743982495,0.0,True,False,True
1.2517063274981766,0.001570826512761414,True,False,True
1.3017745805981036,0.0,True,False,True
1.3518428336980306,0.0,True,False,True
1.4019110867979576,0.0,True,False,True
1.4519793398978849,0.0,True,False,True
1.5020475929978119,0.0,True,False,True
1.552115846097739,0.0,True,False,True
1.602184099197666,0.0,True,False,True
1.652252352297593,0.0019253176869824529,True,False,True
1.7023206053975202,0.0,True,False,True
1.7523888584974472,0.0,True,False,True
1.8024571115973742,0.0,True,False,True
1.8525253646973012,0.0,True,False,True
1.9025936177972282,0.03662249073386192,True,True,False
1.9526618708971553,0.0,True,False,True
2.0027301239970825,0.0,True,False,True
2.0527983770970093,0.006903734523802996,True,False,True
2.1028666301969365,0.06797938793897629,True,True,False
2.1529348832968638,0.0,True,False,True
2.2030031363967906,0.003043312579393387,True,False,True
2.253071389496718,0.01952536217868328,True,False,True
2.3031396425966446,0.024445587769150734,True,False,True
2.353207895696572,0.004622750915586948,True,False,True
2.403276148796499,0.018733946606516838,True,False,True
2.453344401896426,0.0008665214409120381,True,False,True
2.503412654996353,0.014707749709486961,True,False,True
2.55348090809628,0.02894221805036068,True,False,True
